date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2021-04-14,Wednesday,09:59,9,LONG,bullish,772.3,768.1,795.4,768.1,LOSS,-1000.0,False,1.151,0.714,0.1,0.544,0.04,1.65,2,False,False,False,7.671,1-1.5%,>70%
2021-04-15,Thursday,15:50,15,LONG,bullish,737.25,736.32,742.36,738.25,TIMEOUT,1075.27,False,1.037,0.859,0.048,0.126,2.31,0.27,149,False,False,False,3.494,1-1.5%,>70%
2021-04-16,Friday,10:06,10,SHORT,bearish,727.42,729.1,718.18,729.1,LOSS,-1000.0,False,0.813,0.228,0.16,0.231,0.12,1.74,1,True,False,True,3.363,0.5-1%,<30%
2021-04-19,Monday,12:27,12,SHORT,bearish,715.32,717.17,705.12,717.17,LOSS,-1000.0,False,1.137,0.084,0.384,0.259,4.66,1.11,268,True,True,False,6.789,1-1.5%,<30%
2021-04-20,Tuesday,09:42,9,LONG,bullish,728.97,724.16,755.44,724.16,LOSS,-1000.0,True,1.333,0.492,0.318,0.66,1.72,1.17,68,True,False,False,4.936,1-1.5%,30-50%
2021-04-21,Wednesday,09:52,9,LONG,bullish,707.15,705.3,717.33,717.33,WIN,5500.0,True,0.803,0.039,0.18,0.262,5.75,0.99,54,True,True,True,6.582,0.5-1%,<30%
2021-04-22,Thursday,09:59,9,SHORT,bearish,742.82,744.08,735.89,744.08,LOSS,-1000.0,True,1.555,0.913,0.211,0.17,2.45,2.77,6,False,True,False,5.497,1.5-2%,>70%
2021-04-23,Friday,09:41,9,SHORT,bearish,719.74,722.77,703.07,722.77,LOSS,-1000.0,True,0.864,0.146,0.033,0.421,0.21,1.66,4,False,False,True,3.462,0.5-1%,<30%
2021-04-26,Monday,10:52,10,SHORT,bearish,738.7,740.8,727.15,740.8,LOSS,-1000.0,True,1.252,0.517,0.174,0.284,1.29,1.3,45,False,True,False,4.65,1-1.5%,50-70%
2021-04-27,Tuesday,11:49,11,SHORT,bearish,716.62,717.97,709.19,709.19,WIN,5500.0,True,0.97,0.042,0.192,0.188,5.81,0.21,77,False,True,False,3.465,0.5-1%,<30%
2021-04-28,Wednesday,09:49,9,LONG,bullish,698.71,697.09,707.62,707.62,WIN,5500.0,False,0.952,0.3,0.044,0.232,5.61,0.5,12,False,False,False,2.423,0.5-1%,<30%
2021-04-29,Thursday,10:12,10,SHORT,bearish,695.25,696.65,687.58,687.58,WIN,5500.0,True,0.805,0.332,0.098,0.201,6.09,0.43,18,False,True,False,5.032,0.5-1%,30-50%
2021-04-30,Friday,09:48,9,LONG,bullish,676.44,673.94,690.19,690.19,WIN,5500.0,True,0.984,0.366,0.126,0.37,5.6,0.3,23,True,True,True,7.775,0.5-1%,30-50%
2021-05-03,Monday,09:43,9,SHORT,bearish,693.65,697.72,671.27,697.72,LOSS,-1000.0,False,1.068,0.552,0.016,0.587,1.08,1.4,23,True,True,False,3.973,1-1.5%,50-70%
2021-05-04,Tuesday,19:29,19,LONG,bullish,676.34,676.14,677.44,676.14,LOSS,-1000.0,False,1.115,0.249,0.034,0.03,3.3,1.4,5,False,False,False,4.521,1-1.5%,<30%
2021-05-05,Wednesday,10:04,10,SHORT,bearish,671.75,675.75,649.75,675.75,LOSS,-1000.0,False,0.675,0.731,0.093,0.595,1.05,1.0,37,True,True,False,2.775,0.5-1%,>70%
2021-05-06,Thursday,09:48,9,SHORT,bearish,673.86,678.29,649.47,665.0,TIMEOUT,1997.75,False,1.081,0.951,0.249,0.658,5.38,0.71,520,True,True,False,5.974,1-1.5%,>70%
2021-05-07,Friday,14:03,14,LONG,bullish,666.42,664.48,677.08,670.56,TIMEOUT,2135.34,False,1.022,0.693,0.383,0.291,4.14,0.58,191,False,True,True,5.157,1-1.5%,50-70%
2021-05-10,Monday,09:53,9,SHORT,bearish,650.27,654.05,629.47,654.05,LOSS,-1000.0,False,0.955,0.886,0.142,0.582,1.25,1.18,25,True,True,False,7.457,0.5-1%,>70%
2021-05-11,Tuesday,10:42,10,LONG,bullish,607.82,603.32,632.57,603.32,LOSS,-1000.0,False,1.977,0.022,0.312,0.74,0.11,1.23,4,False,False,False,7.919,1.5-2%,<30%
2021-05-12,Wednesday,10:22,10,SHORT,bearish,608.0,609.78,598.21,598.21,WIN,5500.0,True,1.773,0.658,0.175,0.293,6.12,0.27,90,False,True,False,6.536,1.5-2%,50-70%
2021-05-13,Thursday,10:10,10,SHORT,bearish,597.86,599.96,586.34,599.96,LOSS,-1000.0,False,1.283,0.402,0.242,0.351,0.61,1.02,3,True,True,False,8.057,1-1.5%,30-50%
2021-05-14,Friday,10:06,10,SHORT,bearish,574.79,576.91,563.11,576.91,LOSS,-1000.0,False,0.863,0.612,0.234,0.369,1.23,1.39,5,True,False,True,4.224,0.5-1%,50-70%
2021-05-17,Monday,10:41,10,LONG,bullish,583.67,581.0,598.33,581.0,LOSS,-1000.0,True,1.387,0.645,0.154,0.457,0.19,1.44,7,True,False,False,5.392,1-1.5%,50-70%
2021-05-18,Tuesday,10:06,10,LONG,bullish,574.98,571.59,593.62,593.62,WIN,5500.0,False,1.217,0.229,0.096,0.59,5.8,0.07,74,False,False,False,5.676,1-1.5%,<30%
2021-05-19,Wednesday,09:49,9,LONG,bullish,555.32,553.25,566.71,553.25,LOSS,-1000.0,True,1.437,0.161,0.749,0.373,1.22,1.69,4,True,False,False,4.039,1-1.5%,<30%
2021-05-20,Thursday,09:42,9,LONG,bullish,576.12,573.16,592.41,588.9,TIMEOUT,4314.87,False,0.995,0.44,0.273,0.514,4.35,0.97,530,False,True,True,5.169,0.5-1%,30-50%
2021-05-21,Friday,14:04,14,SHORT,bearish,587.99,589.09,581.94,589.09,LOSS,-1000.0,False,1.09,0.634,0.07,0.187,0.35,1.77,4,True,True,False,4.396,1-1.5%,50-70%
2021-05-24,Monday,09:40,9,LONG,bullish,581.85,578.14,602.26,602.26,WIN,5500.0,False,1.557,0.626,0.348,0.638,5.6,0.85,217,False,True,True,6.978,1.5-2%,50-70%
2021-05-25,Tuesday,19:11,19,LONG,bullish,607.25,607.1,608.07,607.1,LOSS,-1000.0,False,1.206,0.368,0.244,0.025,0.07,1.67,3,False,False,False,2.994,1-1.5%,30-50%
2021-05-26,Wednesday,10:01,10,SHORT,bearish,604.0,606.2,591.9,606.2,LOSS,-1000.0,False,0.684,0.545,0.026,0.364,1.14,1.73,25,True,False,True,4.051,0.5-1%,50-70%
2021-05-27,Thursday,12:35,12,SHORT,bearish,618.64,619.3,615.04,619.3,LOSS,-1000.0,False,0.934,0.181,0.052,0.106,0.08,1.09,2,True,False,True,2.874,0.5-1%,<30%
2021-05-28,Friday,13:10,13,SHORT,bearish,631.61,632.7,625.63,632.7,LOSS,-1000.0,True,0.706,0.73,0.125,0.172,2.92,1.22,78,False,True,False,2.097,0.5-1%,>70%
2021-06-01,Tuesday,10:00,10,LONG,bullish,631.84,630.43,639.6,630.43,LOSS,-1000.0,True,0.863,0.135,0.025,0.223,0.1,1.84,2,True,False,False,2.116,0.5-1%,<30%
2021-06-02,Wednesday,09:44,9,SHORT,bearish,619.66,620.49,615.07,615.07,WIN,5500.0,True,0.524,0.222,0.112,0.135,6.15,0.98,11,False,True,False,3.987,0.5-1%,<30%
2021-06-03,Thursday,09:42,9,SHORT,bearish,593.66,595.63,582.85,595.63,LOSS,-1000.0,False,0.87,0.256,0.169,0.331,0.79,1.53,10,True,True,False,5.749,0.5-1%,<30%
2021-06-04,Friday,09:50,9,LONG,bullish,587.83,585.66,599.77,585.66,LOSS,-1000.0,True,1.383,0.572,0.206,0.369,0.22,1.0,1,True,True,True,5.072,1-1.5%,50-70%
2021-06-07,Monday,09:50,9,SHORT,bearish,589.84,592.01,577.91,592.01,LOSS,-1000.0,False,0.957,0.29,0.172,0.368,3.21,1.61,152,True,False,True,4.531,0.5-1%,<30%
2021-06-08,Tuesday,09:51,9,SHORT,bearish,614.76,616.78,603.64,603.64,WIN,5500.0,False,1.052,0.83,0.287,0.329,5.51,0.39,62,True,False,True,5.285,1-1.5%,>70%
2021-06-09,Wednesday,09:48,9,LONG,bullish,610.88,609.05,620.95,609.05,LOSS,-1000.0,True,0.979,0.959,0.13,0.3,0.0,1.52,1,True,False,False,2.446,0.5-1%,>70%
2021-06-10,Thursday,09:46,9,LONG,bullish,610.26,607.53,625.29,607.53,LOSS,-1000.0,True,1.08,0.466,0.114,0.448,0.7,1.01,15,True,True,True,4.113,1-1.5%,30-50%
2021-06-11,Friday,09:51,9,SHORT,bearish,602.42,604.5,590.98,604.5,LOSS,-1000.0,False,0.904,0.848,0.087,0.345,0.43,1.06,7,True,False,True,2.378,0.5-1%,>70%
2021-06-14,Monday,09:45,9,LONG,bullish,623.38,619.62,644.06,619.62,LOSS,-1000.0,True,0.625,0.055,0.47,0.603,0.56,1.28,17,True,True,True,2.665,0.5-1%,<30%
2021-06-15,Tuesday,09:58,9,SHORT,bearish,611.18,613.45,598.73,598.73,WIN,5500.0,False,0.785,0.7,0.018,0.371,5.57,0.44,339,True,True,False,3.727,0.5-1%,50-70%
2021-06-16,Wednesday,10:30,10,SHORT,bearish,598.98,600.0,593.34,600.0,LOSS,-1000.0,True,1.377,0.55,0.073,0.171,5.34,1.13,93,False,False,True,2.586,1-1.5%,50-70%
2021-06-17,Thursday,10:10,10,LONG,bullish,608.6,607.51,614.6,614.6,WIN,5500.0,True,0.864,0.576,0.227,0.179,5.53,0.54,57,True,True,True,3.744,0.5-1%,50-70%
2021-06-18,Friday,10:06,10,LONG,bullish,617.05,615.0,628.36,615.0,LOSS,-1000.0,True,0.684,0.093,0.111,0.333,0.23,1.1,8,True,True,True,2.872,0.5-1%,<30%
2021-06-21,Monday,09:41,9,SHORT,bearish,615.87,618.19,603.09,618.19,LOSS,-1000.0,False,1.292,0.591,0.323,0.377,3.01,1.13,85,True,True,False,3.619,1-1.5%,50-70%
2021-06-22,Tuesday,11:26,11,LONG,bullish,624.83,623.75,630.77,623.75,LOSS,-1000.0,True,0.719,0.525,0.123,0.173,3.46,1.58,111,True,True,True,2.113,0.5-1%,50-70%
2021-06-23,Wednesday,09:45,9,LONG,bullish,646.2,642.1,668.75,663.0,TIMEOUT,4097.06,True,1.583,0.665,0.296,0.635,4.5,0.54,589,True,True,True,6.342,1.5-2%,50-70%
2021-06-24,Thursday,09:46,9,LONG,bullish,676.33,672.0,700.15,682.0,TIMEOUT,1309.42,False,1.349,0.562,0.269,0.64,4.92,0.26,573,False,True,True,5.926,1-1.5%,50-70%
2021-06-25,Friday,09:41,9,SHORT,bearish,686.4,689.0,672.1,689.0,LOSS,-1000.0,True,1.195,0.223,0.184,0.379,0.3,1.19,6,False,True,False,3.682,1-1.5%,<30%
2021-06-28,Monday,09:56,9,LONG,bullish,684.71,682.56,696.53,682.56,LOSS,-1000.0,True,0.947,0.618,0.127,0.314,4.65,1.13,211,True,True,True,4.097,0.5-1%,50-70%
2021-06-29,Tuesday,10:08,10,SHORT,bearish,678.12,679.25,671.9,679.25,LOSS,-1000.0,False,1.304,0.314,0.044,0.167,1.97,1.06,11,True,True,False,1.76,1-1.5%,30-50%
2021-06-30,Wednesday,09:43,9,LONG,bullish,686.29,683.52,701.52,683.52,LOSS,-1000.0,True,0.679,0.284,0.216,0.404,0.62,1.43,15,True,False,False,2.762,0.5-1%,<30%
2021-07-01,Thursday,10:31,10,SHORT,bearish,679.38,681.6,667.17,681.6,LOSS,-1000.0,True,0.973,0.258,0.084,0.327,0.14,1.03,3,False,True,False,2.336,0.5-1%,<30%
2021-07-02,Friday,09:58,9,LONG,bullish,691.49,689.2,704.09,689.2,LOSS,-1000.0,True,1.464,0.824,0.362,0.331,0.06,1.17,1,True,True,True,4.103,1-1.5%,>70%
2021-07-06,Tuesday,10:50,10,SHORT,bearish,665.13,666.43,657.98,666.43,LOSS,-1000.0,False,1.094,0.568,0.027,0.195,0.1,1.12,2,True,True,False,4.819,1-1.5%,50-70%
2021-07-07,Wednesday,09:49,9,SHORT,bearish,654.2,656.16,643.42,643.42,WIN,5500.0,False,1.373,0.711,0.32,0.3,5.52,0.82,40,True,True,False,4.148,1-1.5%,>70%
2021-07-08,Thursday,10:03,10,LONG,bullish,631.51,629.05,645.04,645.04,WIN,5500.0,True,2.61,0.317,0.284,0.39,5.73,0.68,117,True,True,True,5.483,2-3%,30-50%
2021-07-09,Friday,10:51,10,SHORT,bearish,649.03,650.26,642.26,650.26,LOSS,-1000.0,False,1.419,0.346,0.075,0.19,0.45,1.35,3,True,False,True,2.345,1-1.5%,30-50%
2021-07-12,Monday,09:55,9,LONG,bullish,676.55,673.29,694.48,687.01,TIMEOUT,3208.59,True,1.904,0.769,0.061,0.482,3.36,0.78,505,True,True,True,4.65,1.5-2%,>70%
