date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2023-04-21,Friday,09:55,9,SHORT,bearish,161.58,162.09,158.78,162.09,LOSS,-1000.0,False,1.751,0.791,0.167,0.316,0.43,1.08,1,True,False,True,2.893,1.5-2%,>70%
2023-04-24,Monday,09:50,9,LONG,bullish,165.04,164.47,168.14,164.47,LOSS,-1000.0,False,1.513,0.456,0.614,0.342,0.24,1.64,3,False,False,False,4.274,1.5-2%,30-50%
2023-04-25,Tuesday,09:52,9,LONG,bullish,160.75,159.72,166.38,159.72,LOSS,-1000.0,False,0.775,0.258,0.263,0.638,0.02,1.13,7,False,True,True,2.942,0.5-1%,<30%
2023-04-26,Wednesday,13:05,13,SHORT,bearish,156.53,156.9,154.53,156.9,LOSS,-1000.0,False,1.171,0.396,0.17,0.233,0.73,1.44,15,True,True,False,5.963,1-1.5%,30-50%
2023-04-27,Thursday,11:00,11,LONG,bullish,154.79,154.61,155.77,155.77,WIN,5500.0,True,1.589,0.763,0.162,0.116,5.92,0.11,10,True,True,True,5.893,1.5-2%,>70%
2023-04-28,Friday,10:22,10,LONG,bullish,162.02,161.45,165.16,161.45,LOSS,-1000.0,False,2.075,0.745,0.062,0.352,0.46,1.26,9,False,True,True,4.846,2-3%,>70%
2023-05-01,Monday,09:45,9,LONG,bullish,161.47,160.88,164.75,160.88,LOSS,-1000.0,False,1.419,0.77,0.075,0.368,3.03,1.24,57,False,False,False,3.755,1-1.5%,>70%
2023-05-02,Tuesday,09:58,9,SHORT,bearish,164.28,164.99,160.37,160.37,WIN,5500.0,True,1.6,0.95,0.724,0.432,6.24,0.55,92,False,True,False,4.062,1.5-2%,>70%
2023-05-03,Wednesday,15:17,15,LONG,bullish,162.92,162.16,167.1,162.16,LOSS,-1000.0,True,1.107,0.882,0.062,0.466,0.2,1.28,4,True,True,True,3.175,1-1.5%,>70%
2023-05-04,Thursday,11:32,11,SHORT,bearish,161.79,162.1,160.06,162.1,LOSS,-1000.0,False,1.149,0.304,0.043,0.195,0.51,1.21,3,True,True,False,2.214,1-1.5%,30-50%
2023-05-05,Friday,09:52,9,LONG,bullish,166.42,166.0,168.73,166.0,LOSS,-1000.0,True,0.895,0.612,0.247,0.252,0.05,1.19,2,True,True,True,5.609,0.5-1%,50-70%
